k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,circuit,6,0000000001000011000000010,4,15,63,12,83046,297706,0,1276172,89832,428706,0,1654219
5,circuit,6,0000000001000011000000010,0,0,63,12,0,1,0,1957290,0,3201,0,1472133
5,circuit,6,0000000001000011000000010,0,6,63,12,118,233436,0,780256,109080,512433,0,1736799
5,circuit,6,0000000001000011000000010,0,8,63,12,0,219316,0,794770,102033,482979,0,1635840
5,circuit,6,0000000001000011000000010,0,9,63,12,0,54137,0,780401,34348,383714,0,1244932
5,circuit,6,0000000001000011000000010,0,10,63,12,19152,198805,0,439932,131344,376550,0,1319327
5,circuit,6,0000000001000011000000010,0,16,63,12,64481,171607,0,372399,154767,349780,0,1138590
5,circuit,6,0000000001000011000000010,1,0,63,12,93895,387656,0,1624062,76543,390013,0,1975706
5,circuit,6,0000000001000011000000010,1,6,63,12,134798,480117,0,1548309,233288,893155,0,2697215
5,circuit,6,0000000001000011000000010,1,8,63,12,134891,475541,0,1543462,222945,873826,0,2680944
5,circuit,6,0000000001000011000000010,1,9,63,12,130051,461438,0,1551421,157050,789020,0,2636005
5,circuit,6,0000000001000011000000010,1,10,63,12,49580,212421,0,791557,166427,557551,0,1575652
5,circuit,6,0000000001000011000000010,1,16,63,12,63978,201495,0,627425,167478,485306,0,1280338
5,circuit,6,0000000001000011000000010,2,6,63,12,109077,298432,0,1092533,112307,539400,0,2435913
5,circuit,6,0000000001000011000000010,2,8,63,12,109837,291653,0,1074448,118461,552746,0,2461266
5,circuit,6,0000000001000011000000010,2,9,63,12,108880,283275,0,1096854,143301,570595,0,2439190
5,circuit,6,0000000001000011000000010,2,10,63,12,45038,129663,0,532476,61005,324866,0,1435629
5,circuit,6,0000000001000011000000010,2,16,63,12,52881,119950,0,423861,55785,286791,0,1166351
5,circuit,6,0000000001000011000000010,3,0,63,12,24648,242466,0,1837473,104630,450369,0,1991915
5,circuit,6,0000000001000011000000010,3,3,63,12,88049,249889,0,923261,106573,391892,0,1278808
5,circuit,6,0000000001000011000000010,3,6,63,12,251882,483255,0,1032558,148795,662128,0,2366993
5,circuit,6,0000000001000011000000010,3,8,63,12,225071,486357,0,1029952,144071,644000,0,2346309
