k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,toxicity,6,0000000000000010010011000,1,15,63,6,52714,250180,0,1080448,5593,63104,0,537219
5,toxicity,6,0000000000000010010011000,1,16,63,6,1048,13046,0,244775,49055,199759,0,681398
5,toxicity,6,0000000000000010010011000,1,17,63,6,17373,106920,0,557146,8455,63092,0,416990
5,toxicity,6,0000000000000010010011000,1,18,63,6,4934,27488,0,282520,46953,187637,0,649383
5,toxicity,6,0000000000000010010011000,1,19,63,6,33247,157759,0,633575,5989,48315,0,366014
5,toxicity,6,0000000000000010010011000,2,0,63,6,18025,138502,0,946865,54464,252365,0,1075572
5,toxicity,6,0000000000000010010011000,2,1,63,6,45844,227120,0,1151913,26514,165021,0,906981
5,toxicity,6,0000000000000010010011000,2,2,63,6,49472,248138,0,1214120,18711,133275,0,840882
5,toxicity,6,0000000000000010010011000,2,3,63,6,4364,40675,0,377438,47155,196213,0,738548
5,toxicity,6,0000000000000010010011000,2,4,63,6,19212,118133,0,647756,13714,88452,0,527917
5,toxicity,6,0000000000000010010011000,2,5,63,6,27398,151938,0,704193,10487,74566,0,490293
5,toxicity,6,0000000000000010010011000,2,8,63,6,16910,122119,0,911148,57040,256593,0,1090371
5,toxicity,6,0000000000000010010011000,2,9,63,6,7652,87463,0,843133,52398,258814,0,1127756
5,toxicity,6,0000000000000010010011000,2,10,63,6,42409,194387,0,768401,8321,60971,0,426799
5,toxicity,6,0000000000000010010011000,2,11,63,6,7781,68963,0,498243,29840,147415,0,647691
5,toxicity,6,0000000000000010010011000,2,12,63,6,3260,40516,0,407554,39700,181280,0,719639
5,toxicity,6,0000000000000010010011000,2,13,63,6,20442,136266,0,921748,59218,267475,0,1113751
5,toxicity,6,0000000000000010010011000,2,15,63,6,59176,270968,0,1106570,2980,51509,0,502977
5,toxicity,6,0000000000000010010011000,2,16,63,6,2914,28953,0,286432,48719,187849,0,644798
5,toxicity,6,0000000000000010010011000,2,17,63,6,13165,85625,0,503019,13433,83596,0,456441
5,toxicity,6,0000000000000010010011000,2,18,63,6,4457,28388,0,285421,47791,187278,0,652321
5,toxicity,6,0000000000000010010011000,2,19,63,6,31738,150808,0,614805,7054,53279,0,373802
5,toxicity,6,0000000000000010010011000,3,0,63,6,14244,129356,0,931801,58407,258239,0,1087601
5,toxicity,6,0000000000000010010011000,3,1,63,6,48196,240558,0,1173391,24913,156022,0,885796
5,toxicity,6,0000000000000010010011000,3,2,63,6,51334,263448,0,1254608,18588,130157,0,820185
5,toxicity,6,0000000000000010010011000,3,3,63,6,3676,41397,0,419042,43976,185844,0,723612
5,toxicity,6,0000000000000010010011000,3,4,63,6,20007,117125,0,630429,18043,105438,0,558282
5,toxicity,6,0000000000000010010011000,3,5,63,6,29920,165072,0,735438,10228,74218,0,481618
5,toxicity,6,0000000000000010010011000,3,6,63,6,2277,24614,0,450353,107303,432554,0,1393618
5,toxicity,6,0000000000000010010011000,3,8,63,6,18761,128395,0,899122,56964,263222,0,1117714
5,toxicity,6,0000000000000010010011000,3,9,63,6,10624,89384,0,809045,73482,304295,0,1198809
5,toxicity,6,0000000000000010010011000,3,10,63,6,57346,222224,0,796648,9879,66816,0,441721
5,toxicity,6,0000000000000010010011000,3,11,63,6,9037,73859,0,497342,31442,149413,0,650204
5,toxicity,6,0000000000000010010011000,3,12,63,6,3338,43152,0,421569,36222,172759,0,713572
5,toxicity,6,0000000000000010010011000,3,13,63,6,19240,135763,0,925696,53429,249375,0,1085434
5,toxicity,6,0000000000000010010011000,3,14,63,6,726,11388,0,286197,85621,324024,0,1077268
5,toxicity,6,0000000000000010010011000,3,15,63,6,47905,252394,0,1114770,1939,46254,0,495629
