task,fp_key,depth_to_output,depth_from_input,in_degree,out_degree,predecessor_depth_signature,successor_depth_signature,node_type,part_idx,part_name,top_count,bot_count,log_odds,n_topologies,n_targets,total_designs
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,9,LmrA/N1,476203,711856,-0.5800077183744602,23,10,1188059
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,10,PhlF/P1,160356,628369,-1.9703269717604235,23,10,788725
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,11,PhlF/P2,561588,270264,1.0551399861318593,23,10,831852
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,12,PhlF/P3,528450,285980,0.8858504051586011,23,10,814430
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,13,PsrA/R1,777070,720686,0.10867360013558135,23,10,1497756
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,14,QacR/Q1,566382,393315,0.5260890875819844,23,10,959697
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,15,QacR/Q2,499408,499588,-0.0005198911512739465,23,10,998996
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,16,SrpR/S1,142594,637024,-2.1594265965401926,23,10,779618
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,17,SrpR/S2,336489,179419,0.9072229137858571,23,10,515908
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,18,SrpR/S3,329723,207180,0.6703671984390936,23,10,536903
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,19,SrpR/S4,376296,185954,1.0169182476909115,23,10,562250
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,0,AmeR/F1,557019,451848,0.3018883991342967,25,15,1008867
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,1,AmtR/A1,820363,276445,1.5692664865294752,25,15,1096808
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,2,BetI/E1,864066,329901,1.3891056595752815,25,15,1193967
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,3,BM3R1/B1,298089,162258,0.8774494759402365,25,15,460347
